Name,G
$1.116,1
$1.7,1
$10,2
"$105,000",1
$11.8,2
"$12,000",1
$14.9,1
$2.5,1
$200.,1
$24,2
$3,11
$3.87,1
$32.1,2
$40.6,1
$43.7,1
$45,1
"$5,000",1
$500,4
$52,1
$6.4,1
"$68,000",2
$7.2,1
$7.9,1
"$750,000",1
''danc,1
'candi,1
'cooperating.',2
'equal,1
'he,1
'pen,1
"'well,",1
(.528).,1
(0-0),1
(1-6-5),1
(110),2
(12.2).,2
(12.9),2
(120.5),1
"(13),",2
(133,1
(14),8
(16,6
"(1972,",1
(2-3),1
"(20),",1
"(20-12),",1
(20-13),23
(2006-07),1
"(2009-18),",2
(2013-14),2
"(2014,",1
(21-12).,2
"(21-13),",2
(21-14),3
(21.5),1
(22-13).,2
(228.6-centimeters).,1
(23,5
(24-10),5
(24-5-6),1
(24-9),6
(24-9).,3
(25-7),10
"(25-8),",6
(26-5),1
"(26-6),",4
(28),3
(28-8),1
"(28-9),",3
(29-6),37
(29-6).,3
"(29-7),",2
(3),6
(3.5),2
(30,1
(30-4),8
(30-4).,2
"(30-5),",6
(30-7-2),1
(31-2),3
"(31-3),",2
(31-45),2
"(34),",1
(350,1
(36-36),1
"(37-37),",1
"(38-38),",1
(45-31),1
(46-25),1
"(46-25),",1
(49),1
(499-277).,1
(5,1
(509),1
(54-19),1
"(6-8,",2
(6.4).,2
(65,3
(68).,2
(79,1
(8).,1
(86,2
(and,3
(assist,3
(auburn),2
(benford,1
"(conference),",1
(doncic),1
(dure,2
(eight,2
"(foot),",1
"(groin),",1
(he's),1
(in,7
(isolation),2
"(monday),",3
(more,2
(popovich),1
(regular,1
"(saturday),",1
"(sick),",1
(some,1
(than,2
(the,15
"(three),",2
(thumb).,2
(tnt),1
"(wanted),",1
(we),2
(were),1
(white',1
(you),1
--,76
--kentucki,1
--north,1
--virginia,1
--washington,2
-ralph,2
.,61
0-14,2
0-2,2
0-28,1
"1,000-win",1
"1,010,",1
"1,052",1
"1,500",5
"1,990",1
1-7,3
1-point,1
1.4,3
1.69,1
1/2-game,1
"10,650",1
10-0-2,1
10-3-3,1
10-4,5
10.,60
10.1,2
10.2.,1
10.25,2
"100,000.",2
100-percent,1
"102,",1
105,8
106-103.,1
107-102,4
"107-102,",1
108-105,1
"108-105,",1
108-94,2
10:15,1
10:22,1
10:50,3
10th-year,2
"11,324.",2
"11,548",1
11-2,14
11-21,2
11.6,3
110-61,2
110-96,1
111-97,2
112,3
112-103,1
113-106,2
115-109.,1
115-112,1
"116,",7
116-101,1
118-114,1
119,2
119-98,1
11:02,1
11:23,1
11th-best,1
12-0,11
12-of-15,2
"12-point,",1
12-under,1
12.4,1
"123,",4
126-91,2
126-game,1
127-127,1
12:10,2
12:31,1
12th-seed,53
"13,",6
13-5,3
13.2,2
"130,",1
132-100,1
133,4
"137,",2
138th,1
13:39,1
13½,2
14),2
14-10,2
14-17,1
14-3,2
14-game,2
14-year-old,4
14.7,1
148-144.,1
14:05,1
14:19,1
14:40,1
14th,23
15-1,2
15-11,1
15-18,2
15-8,2
15-year,1
15.5,7
15:06,1
15:41,1
16,759
16-12,3
16-47,5
16-pound,1
16-vs.-no.,1
16.3,2
168,1
16:49,1
16:56,1
"17-13,",1
17-4,2
17-of-56,1
17.,16
17.1,1
"17.5,",1
17.8,4
171).,3
172-67,2
175,3
17:50,1
18-14,2
18.6,1
183-190,2
18:09,1
18th.,3
19-0,2
19-15,1
19-7,1
19.4,1
190-pound,3
190.,2
1954,2
1955.,1
1975,1
"1979,",2
1980s.,4
1983.,1
"1986,",2
1989,9
1990-93,2
1990.,7
"1992-93,",2
"1993,",7
"1993-94,",1
1996,3
"1997-2018,",2
"1998-99,",2
1:03,1
1:10,2
1:31,2
1:38,2
1:45,4
1_perfect,1
"2,",7
"2,349",1
"2,440",1
"2,951",1
2-16,2
"2-2,",1
2-5,4
2-of-13,5
2-of-9,3
2-pointer,1
2.9,2
"20,",10
20-13.,2
20-16,2
20-game,4
"2000,",8
2003,7
2004.,1
"2007,",7
2009.),1
2010,6
2011.,11
"2012-14),",1
2014).,2
"2014,",12
2014-15).,1
2017,52
2018.,15
"2021,",2
2024,2
2025.,1
2032.,2
20s.,2
"21-10,",1
21-3,2
21.0,1
21.7,3
215),1
22-1,1
22-11,3
22-8,2
22.5,3
23,160
23-12,1
23.3,1
238,1
24-10.,2
24-20,1
24-48,1
24-69,1
24.,6
245,1
25-2,2
25-21,2
25-9,1
253-155.,1
26-15,2
26-8.,1
26.4,1
"27),",2
"27,",1
27-16,1
27.9,1
28),1
"28-17,",1
28-24,2
28-28.,1
287,1
28th,5
29-1,1
29-11,1
29-8,1
29-year-old,2
29.2-percent,1
29.5,2
291st,1
2:11,1
2:25,1
2:26.,1
2:39,2
2:46,2
2½,5
3),2
"3,268",1
3-3,3
3-for-5,1
3-point,384
3-point-centr,1
3-point-happi,1
3-pointer?,2
3-seed,4
3.0,2
3.1_averag,1
3.7,3
30,115
30-26,1
30-6,1
30-7.,2
30-goal,1
30-point,10
"30-point,",1
30.3,2
31-20,1
31-27,8
"31-27,",2
31-4,1
31.,6
32-2,1
32-28,1
32nd,1
33-29,2
33.4,2
33.5.,1
33rd,4
"34,",2
34-20.,2
34-23,1
34-30,2
35),3
35-31,1
35-year,2
35.7,1
35th,3
36-18,1
36.5,3
37,36
37-26,2
37-year-old,1
37.3,3
38-27,2
38-31.,1
38-34,2
38-4,1
38.,2
38.1,3
38.8,2
"39-21,",1
39.6,2
3:05,1
3:19,1
3:26,1
3:33,3
3:40,3
"3s,",15
3s:,3
4-1,6
4-8,2
4-for-15,1
4-hour,3
4-of-6,1
4.5,2
40-0,4
40-33.,1
40-plu,1
40-point,3
40-year-old,6
"41,",3
41-30,2
41-37,1
41.2,2
413,1
42-31,2
42-35.,1
42-point,3
43-32,3
43.5,2
44,32
44-19,3
44-23.,1
44-26,1
44-40,2
44.3,2
45-41,2
"45-41,",1
45.8,5
46-14,1
47-36,1
47-43,1
48-all,1
48-point,1
48-team,1
48.2,1
49),1
49-38,1
49-45,3
490,1
49th,1
4:20,1
4:41,1
4:48,1
4:49.,1
4:55,4
5,220
5-0.,1
5-12,1
5-19,2
5-all,1
5-foot-11,5
5-foot-7,2
5-for-17,1
5-of-26,2
5.3,1
"50-46,",1
50-50.,1
50-footer,1
50.5,1
504,8
51,29
51-19,2
51-33,3
51.3,1
519.,1
52-34,1
52-76,2
52.,1
52.8,4
53-18.,2
53-25.,1
53-32.,1
53-42,1
53-49,4
53.6,4
54-19.,1
54-50,2
"55,",1
55.2,1
56-52,1
56th,1
57-53,3
57.5,1
58,32
58-12,1
58-54,3
"58-54,",1
588,1
59-41,1
59.,1
59.1,1
5:21,1
5:28,1
5:35,1
5:49,1
5:56,2
6-13,1
6-4,5
6-foot-7,23
6.,28
6.1,4
6.11,1
